,Title,Discription,URL
0,Chak De! India,Indian underdog sports film will make American girls cheer.,/movie-reviews/chak-de-india
1,Kuch Kuch Hota Hai,Fun Bollywood romance has occasional bad language.,/movie-reviews/kuch-kuch-hota-hai
2,Swades,Bollywood drama looks at discrimination in India; smoking.,/movie-reviews/swades
3,Dear Zindagi,Bollywood romantic drama looks at mental health and therapy.,/movie-reviews/dear-zindagi
4,Kabhi Khushi Kabhie Gham...,Feel-good Bollywood family drama balances sadness and joy.,/movie-reviews/kabhi-khushi-kabhie-gham
5,Rainbow (Dhanak),Upbeat Bollywood sibling drama has mild language and peril.,/movie-reviews/rainbow-dhanak
6,Ta Ra Rum Pum,Fanciful Bollywood dramedy fine for tweens and up.,/movie-reviews/ta-ra-rum-pum
7,Three of Us,Emotional Bollywood drama about dementia has mature themes.,/movie-reviews/three-of-us
8,Wake Up Sid,Sweet Bollywood coming-of-age romcom has positive messages.,/movie-reviews/wake-up-sid
9,Dilwale Dulhania Le Jayenge,"Musical romcom Bollywood classic; violent fight, drinking.",/movie-reviews/dilwale-dulhania-le-jayenge
10,Jodhaa Akbar,Bollywood epic promotes religious harmony; violent battles.,/movie-reviews/jodhaa-akbar
11,Lagaan: Once Upon a Time in India,"Colonial India sports drama has racism, prejudice, violence.",/movie-reviews/lagaan-once-upon-a-time-in-india
12,Veer-Zaara,"Bollywood forbidden love tale with song, dance, drama.",/movie-reviews/veer-zaara
13,Pagglait,Slow family drama finds widow looking for personal freedom.,/movie-reviews/pagglait
14,3 Idiots,Bollywood comedy about friendship has suicide and drinking.,/movie-reviews/3-idiots
15,Badhaai Do,Comedy-drama depicts struggles of India's queer community.,/movie-reviews/badhaai-do
16,Bombay Rose,Slow but gorgeous animated romance has mature themes.,/movie-reviews/bombay-rose
17,Brahmastra Part One: Shiva,"Epic Bollywood film inspires, entertains; violence, tension.",/movie-reviews/brahmastra-part-one-shiva
18,Bride and Prejudice,Fluffy Bollywood-style musical romance.,/movie-reviews/bride-and-prejudice
19,Dil Dhadakne Do,Romantic Bollywood comedy-drama about marriage and family.,/movie-reviews/dil-dhadakne-do
